group,location,effect_music_1_ovr,effect_music_1_mus,effect_music_1_tot,effect_music_2_ovr,effect_music_2_mus,effect_music_2_tot,effect_music_total,effect_visual_1_ovr,effect_visual_1_vis,effect_visual_1_tot,effect_visual_2_ovr,effect_visual_2_vis,effect_visual_2_tot,effect_visual_total,music_1_comp,music_1_perf,music_1_tot,music_2_comp,music_2_perf,music_2_tot,music_total,visual_1_comp,visual_1_perf,visual_1_tot,visual_2_comp,visual_2_perf,visual_2_tot,visual_total,sub_total,penalties,total,effect_music_1_judge,effect_music_2_judge,effect_visual_1_judge,effect_visual_2_judge,music_1_judge,music_2_judge,visual_1_judge,visual_2_judge,class,date
Ayala HS,"Chino Hills, CA",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Bridgeland HS,"Cypress, TX",2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Chino Hills HS,"Chino Hills, CA",3.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,3.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Avon HS,"Avon, IN",6.0,4.0,4.0,5.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,7.0,6.0,5.0,7.0,6.0,6.0,4.0,,4.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Burleson Centennial HS,"Burleson, TX",4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,5.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Arcadia HS,"Arcadia, CA",5.0,6.0,6.0,6.0,5.0,5.0,6.0,11.0,10.0,11.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,8.0,6.0,7.0,6.0,5.0,5.0,7.0,6.0,,6.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Cy-Fair HS,"Houston, TX",9.0,7.0,9.0,9.0,6.0,7.0,7.0,8.0,7.0,7.0,9.0,11.0,10.0,9.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,7.0,6.0,7.0,5.0,7.0,,7.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Clear Brook HS,"Friendswood, TX",7.0,9.0,7.0,7.0,9.0,9.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Dartmouth HS,"Dartmouth, MA",8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,10.0,9.0,11.0,10.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,,9.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Center Grove HS,"Greenwood, IN",10.0,10.0,10.0,11.0,11.0,11.0,10.0,7.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,,10.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Broken Arrow HS,"Broken Arrow, OK",11.0,11.0,11.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,13.0,14.0,13.0,15.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,9.0,9.0,9.0,12.0,12.0,12.0,11.0,11.0,,11.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Boswell HS,"Ft. Worth, TX",12.0,13.0,13.0,12.0,12.0,12.0,12.0,10.0,9.0,9.0,11.0,10.0,11.0,11.0,12.0,10.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,,12.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Dorman HS,"Roebuck, SC",13.0,12.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,12.0,12.0,12.0,12.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,11.0,12.0,13.0,,13.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Brownsburg HS,"Brownsburg, IN",14.0,14.0,14.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,15.0,13.0,14.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,,14.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Walled Lake Consolidated Schools,"Walled Lake, MI",15.0,15.0,15.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,14.0,15.0,15.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,,15.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
