group,location,effect_music_1_ovr,effect_music_1_mus,effect_music_1_tot,effect_music_2_ovr,effect_music_2_mus,effect_music_2_tot,effect_music_total,effect_visual_1_ovr,effect_visual_1_vis,effect_visual_1_tot,effect_visual_2_ovr,effect_visual_2_vis,effect_visual_2_tot,effect_visual_total,music_1_comp,music_1_perf,music_1_tot,music_2_comp,music_2_perf,music_2_tot,music_total,visual_1_comp,visual_1_perf,visual_1_tot,visual_2_comp,visual_2_perf,visual_2_tot,visual_total,sub_total,penalties,total,effect_music_1_judge,effect_music_2_judge,effect_visual_1_judge,effect_visual_2_judge,music_1_judge,music_2_judge,visual_1_judge,visual_2_judge,class,date
Ayala HS,"Chino Hills, CA",100.0,100.0,30.0,100.0,100.0,30.0,30.0,100.0,100.0,20.0,100.0,100.0,20.0,20.0,99.0,98.0,29.5,98.0,99.0,29.6,29.55,100.0,99.0,19.9,100.0,100.0,20.0,19.95,99.5,0.0,99.5,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Bridgeland HS,"Cypress, TX",97.5,96.0,29.025,97.0,97.0,29.1,29.063,98.0,98.0,19.6,98.0,97.0,19.5,19.55,96.5,96.0,28.85,96.5,96.0,28.85,28.85,98.0,98.0,19.6,99.0,99.0,19.8,19.7,97.163,0.0,97.163,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Chino Hills HS,"Chino Hills, CA",97.0,97.0,29.1,95.0,98.0,28.95,29.025,94.0,96.0,19.0,96.5,95.5,19.2,19.1,97.0,94.0,28.5,96.0,94.5,28.5,28.5,95.0,94.5,18.95,97.0,97.0,19.4,19.175,95.8,0.0,95.8,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Avon HS,"Avon, IN",92.5,95.0,28.125,94.0,92.0,27.9,28.013,95.0,97.0,19.2,97.0,96.0,19.3,19.25,98.0,95.0,28.8,97.0,97.0,29.1,28.95,94.5,92.0,18.65,95.0,94.0,18.9,18.775,94.988,0.0,94.988,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Burleson Centennial HS,"Burleson, TX",93.5,93.5,28.05,96.0,96.0,28.8,28.425,96.0,95.0,19.1,95.0,95.0,19.0,19.05,95.0,92.5,28.0,92.0,92.0,27.6,27.8,97.0,96.0,19.3,98.0,98.0,19.6,19.45,94.725,0.0,94.725,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Arcadia HS,"Arcadia, CA",93.0,93.0,27.9,93.0,94.0,28.05,27.975,87.5,88.0,17.55,93.0,94.0,18.7,18.125,94.5,93.0,28.05,94.0,95.0,28.4,28.225,91.0,94.0,18.5,94.0,96.0,19.0,18.75,93.075,0.0,93.075,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Cy-Fair HS,"Houston, TX",89.5,92.0,27.225,90.0,93.0,27.45,27.338,90.0,91.5,18.15,90.5,88.5,17.9,18.025,94.0,93.5,28.1,93.0,93.0,27.9,28.0,93.0,95.0,18.8,93.0,95.0,18.8,18.8,92.163,0.0,92.163,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Clear Brook HS,"Friendswood, TX",92.0,91.0,27.45,91.5,90.0,27.225,27.338,92.0,92.0,18.4,92.0,91.0,18.3,18.35,91.0,92.0,27.5,88.0,90.0,26.8,27.15,92.0,91.0,18.3,92.0,93.0,18.5,18.4,91.238,0.0,91.238,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Dartmouth HS,"Dartmouth, MA",90.5,91.5,27.3,91.0,91.0,27.3,27.3,89.0,87.0,17.6,91.5,89.5,18.1,17.85,91.5,89.0,26.95,92.5,91.5,27.55,27.25,89.5,89.5,17.9,90.0,91.0,18.1,18.0,90.4,0.0,90.4,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Center Grove HS,"Greenwood, IN",89.0,88.0,26.55,88.0,88.0,26.4,26.475,91.0,90.0,18.1,90.0,90.0,18.0,18.05,92.0,91.0,27.4,91.0,89.0,26.9,27.15,89.0,89.0,17.8,91.0,92.0,18.3,18.05,89.725,0.0,89.725,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
